Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  16:00:00,7604267.433236297,7604267.433236297,0.0 
 01/01  17:00:00,12268060.862176431,12268060.862176431,0.0 
 01/01  18:00:00,16404058.963557646,16404058.963557646,820004.1413003084 
 01/01  19:00:00,17725767.75730872,17725767.75730872,2347678.00850653 
 01/01  20:00:00,17742835.128262438,17742835.128262438,3557104.8458678396 
 01/01  21:00:00,17348744.544901565,17348744.544901565,4295813.6462497115 
 01/01  22:00:00,15986379.923057351,15986379.923057351,5108609.704369248 
 01/01  23:00:00,15066948.203851966,15066948.203851966,6052174.809625761 
 01/01  24:00:00,12384937.272177834,12384937.272177832,5958490.423620639 
 01/02  01:00:00,10011726.43135895,10011726.43135895,7536177.899330566 
 01/02  02:00:00,10808071.048727488,10808071.048727488,9497147.996775711 
 01/02  03:00:00,9904592.752893865,9904592.752893865,10676549.532060068 
 01/02  04:00:00,10712222.220870774,10712222.220870774,10224501.584377209 
 01/02  05:00:00,9909823.194759486,9909823.194759486,8818711.31339735 
 01/02  06:00:00,12150038.9468658,12150038.9468658,8842107.714675711 
 01/02  07:00:00,16651872.43823393,16651872.43823393,8796796.487606846 
 01/02  08:00:00,12635454.431750163,12635454.431750163,8107808.365477342 
 01/02  09:00:00,10806191.463668535,10806191.463668535,5479920.329415333 
 01/02  10:00:00,9664152.85372703,9664152.853727028,3748968.793486872 
 01/02  11:00:00,9667314.816260535,9667314.816260533,2934396.8043421973 
 01/02  12:00:00,8702752.686318696,8702752.686318696,3023172.0017018085 
 01/02  13:00:00,7739785.164127158,7739785.164127156,3732448.335562931 
 01/02  14:00:00,7647566.127029314,7647566.127029314,4876809.462841193 
 01/02  15:00:00,7596229.302560961,7596229.302560961,5072698.35258124 
 01/02  16:00:00,7862504.288705142,7862504.288705142,5500855.684970693 
 01/02  17:00:00,12543017.75212673,12543017.75212673,5846555.706847157 
 01/02  18:00:00,16648572.383093767,16648572.383093767,6020362.675356742 
 01/02  19:00:00,18837428.87196833,18837428.87196833,5636048.954230691 
 01/02  20:00:00,17763986.376965147,17763986.376965147,6365606.693205149 
 01/02  21:00:00,16634043.975189833,16634043.975189831,6856752.263044417 
 01/02  22:00:00,16120013.220579956,16120013.220579956,7947172.161947755 
 01/02  23:00:00,15192264.365794148,15192264.365794152,8714061.706937382 
 01/02  24:00:00,12543161.786335476,12543161.786335476,9330343.756234972 
 01/03  01:00:00,11022168.825916797,11022168.825916797,10368697.793169755 
 01/03  02:00:00,9971999.440652058,9971999.440652058,10306175.176482521 
 01/03  03:00:00,10776603.902675256,10776603.902675256,10693773.51381741 
 01/03  04:00:00,9866438.392739885,9866438.392739885,10766747.102123875 
 01/03  05:00:00,10931537.729606919,10931537.729606919,11971555.660916023 
 01/03  06:00:00,12400430.03518404,12400430.03518404,14189147.863952834 
 01/03  07:00:00,15946432.627412805,15946432.627412805,14342344.850530325 
 01/03  08:00:00,12875580.67357731,12875580.67357731,13209941.292535312 
 01/03  09:00:00,10991052.733869068,10991052.73386907,9418723.51427333 
 01/03  10:00:00,9800712.649747279,9800712.649747279,6649340.364440844 
 01/03  11:00:00,9707079.500945762,9707079.500945762,3776519.524486122 
 01/03  12:00:00,8594126.25718464,8594126.25718464,685609.6215142842 
 01/03  13:00:00,7564300.054731371,7564300.054731371,0.0 
 01/03  14:00:00,8334556.907555811,8334556.907555811,0.0 
 01/03  15:00:00,6448884.132788574,6448884.132788574,0.0 
 01/03  16:00:00,7993882.413842364,7993882.413842363,0.0 
 01/03  17:00:00,11902142.588177662,11902142.588177662,541045.8431528083 
 01/03  18:00:00,17450902.255320612,17450902.25532061,3006440.890436532 
 01/03  19:00:00,17806425.639679465,17806425.639679465,4052656.2348123267 
 01/03  20:00:00,17727236.513226554,17727236.513226554,5571652.39302776 
 01/03  21:00:00,17580535.119703345,17580535.11970334,6872377.996966824 
 01/03  22:00:00,16103766.854763698,16103766.854763696,7618599.69617011 
 01/03  23:00:00,14226095.295627534,14226095.295627534,7760386.355255509 
 01/03  24:00:00,12472033.214422913,12472033.214422911,7813741.27156557 
 01/04  01:00:00,10945680.629806805,10945680.629806805,8736454.745568397 
 01/04  02:00:00,10777640.371713059,10777640.371713059,8847319.865944399 
 01/04  03:00:00,9815627.2709982,9815627.2709982,8777927.800655523 
 01/04  04:00:00,9806982.846625106,9806982.846625108,9497900.022326928 
 01/04  05:00:00,10865453.295094905,10865453.295094904,10561593.524311163 
