dataset,forecast_algo,rmse,mae,mape,source_dir,selected_lags,param_trend_order,param_fourier_order,param_use_weekly,param_xgb_depth,param_xgb_n_estimators,param_xgb_lr,param_alpha,param_lasso_alpha,param_mlp_hidden,param_mlp_lr,param_hidden_layer_sizes,param_C,param_max_depth,param_n_estimators,param_learning_rate,param_eta0,param_kernel,param_n_neighbors,param_knn_neighbors
LUCID_2,ARIMA,18.222160794488666,4.214120017704918,0.4940434535824741,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_ARIMA,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,,,,,,,
LUCID_2,HybridKNNMLP,18.104576800255447,2.532777876804749,0.22837629147362962,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridKNNMLP,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,"64,32,128,64",0.01,,,,,,,,,5.0
LUCID_2,HybridLRXGB,20.81302395954797,8.576599153225587,1.011709560378792,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLRXGB,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,7.0,100.0,0.2,,,,,,,,,,,,,
LUCID_2,HybridLassoMLP,18.255783610476662,3.1689472594274233,0.2841715570510222,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoMLP,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,10.0,"64,32,128,64",0.01,,,,,,,,,
LUCID_2,HybridLassoXGB,18.334055440416456,3.00346250582699,0.27027726586026357,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_HybridLassoXGB,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,7.0,100.0,0.2,,10.0,,,,,,,,,,,
LUCID_2,KNN,18.112946880232506,2.4906901706677593,0.21968144241053247,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_KNN,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,,,,,,5.0,
LUCID_2,LR,34.31644498204801,14.304042514108174,1.783705963447175,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_LR,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,,,,,,,,
LUCID_2,LSVR,22.838942641336224,4.440853548067272,0.5161565557763214,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_LSVR,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,,0.1,,,,,,,
LUCID_2,Lasso,18.157296740896527,2.8604043982557656,0.25699559919951515,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_Lasso,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,1000.0,,,,,,,,,,,,
LUCID_2,MLP,34.79390658548883,9.938267921274802,1.3167372840347638,ECOS2026/results/LUCID_2/cpd_Binseg_ms28_d1_w28/forecast_MLP,"1,2,3,4,5,6,7,8,13,14,15,17,19,20,22,24,26,28",3,6,True,,,,,,,,"100,100,50,100,50,25,200,100",,,,,,,,
