Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 08/15  20:00:00,151117375.37141684,151117375.3714168,117376096.01565301 
 08/15  21:00:00,141186218.45536837,141186218.45536837,121718974.59016997 
 08/15  22:00:00,96555911.25301352,96555911.25301352,70281857.97525278 
 08/15  23:00:00,69185185.10601665,69185185.10601665,39804359.88385979 
 08/15  24:00:00,47105101.653310195,47105101.65331019,39183015.45186934 
 08/16  01:00:00,17865889.9078134,17865889.907813404,9928834.732080001 
 08/16  02:00:00,20525427.923621118,20525427.923621118,13187284.09812 
 08/16  03:00:00,19606438.951219257,19606438.951219257,9928834.732080001 
 08/16  04:00:00,27964948.498507842,27964948.498507846,19704182.8302 
 08/16  05:00:00,27361711.47803549,27361711.47803549,19704182.8302 
 08/16  06:00:00,29488788.137888066,29488788.137888066,19704182.8302 
 08/16  07:00:00,27231998.412997812,27231998.412997812,19704182.8302 
 08/16  08:00:00,26248247.137900088,26248247.13790008,19704182.8302 
 08/16  09:00:00,29233484.244240947,29233484.24424094,19704182.8302 
 08/16  10:00:00,63412629.47472977,63412629.47472976,19704182.8302 
 08/16  11:00:00,110983355.76186407,110983355.76186407,42513328.39248 
 08/16  12:00:00,140553434.1112725,140553434.11127254,64341863.813314706 
 08/16  13:00:00,151286228.66561317,151286228.66561317,98728225.65335973 
 08/16  14:00:00,161023487.57352534,161023487.57352537,88653671.45894381 
 08/16  15:00:00,166870683.68976218,166870683.68976218,98535773.2361786 
 08/16  16:00:00,188583084.23208225,188583084.23208222,123454629.41181037 
 08/16  17:00:00,197511013.99450797,197511013.99450803,125247009.92546992 
 08/16  18:00:00,185752873.15701985,185752873.15701985,132358991.98677985 
 08/16  19:00:00,169522428.2656781,169522428.26567814,131636895.63468587 
 08/16  20:00:00,153919591.89067987,153919591.8906799,105743627.68290624 
 08/16  21:00:00,138667268.63201642,138667268.63201642,110821924.96659541 
 08/16  22:00:00,98163846.61990759,98163846.6199076,79204722.62369572 
 08/16  23:00:00,61665376.301999256,61665376.30199925,30103795.02637666 
 08/16  24:00:00,42768123.576331995,42768123.576331995,30148557.06817225 
 08/17  01:00:00,17903743.9357192,17903743.9357192,9928834.732080001 
 08/17  02:00:00,20485973.522827316,20485973.522827312,13187284.09812 
 08/17  03:00:00,19486202.70557335,19486202.70557335,9928834.732080001 
 08/17  04:00:00,27712701.105386052,27712701.10538605,19704182.8302 
 08/17  05:00:00,28424806.888876747,28424806.888876747,19704182.8302 
 08/17  06:00:00,29619128.053197704,29619128.053197704,19704182.8302 
 08/17  07:00:00,27078602.68686662,27078602.68686662,19704182.8302 
 08/17  08:00:00,26111392.9320188,26111392.9320188,19704182.8302 
 08/17  09:00:00,28970364.153233897,28970364.153233897,19704182.8302 
 08/17  10:00:00,37866838.446402654,37866838.446402654,19704182.8302 
 08/17  11:00:00,74105304.20924875,74105304.20924878,42513328.39248 
 08/17  12:00:00,92658749.42130639,92658749.4213064,45771777.75852001 
 08/17  13:00:00,111563428.94148624,111563428.94148624,79490062.61981669 
 08/17  14:00:00,128530177.12919515,128530177.12919517,97512637.09025097 
 08/17  15:00:00,141684198.57991984,141684198.57991982,98415097.65203713 
 08/17  16:00:00,162637886.7488721,162637886.7488721,122086048.05636986 
 08/17  17:00:00,162770604.39394552,162770604.39394552,126788692.55782546 
 08/17  18:00:00,156261128.76446015,156261128.76446015,139700918.5522335 
 08/17  19:00:00,150842194.9304199,150842194.93041986,138027475.13273728 
 08/17  20:00:00,138561088.7668845,138561088.7668845,118065021.72897017 
 08/17  21:00:00,124017544.21385784,124017544.21385786,118214769.70718113 
 08/17  22:00:00,80719699.2511473,80719699.2511473,74548697.65596035 
 08/17  23:00:00,51216234.75100137,51216234.75100137,39227279.421163365 
 08/17  24:00:00,42734429.36129457,42734429.36129457,38610730.87055268 
 08/18  01:00:00,17612814.02075331,17612814.02075331,9928834.732080001 
 08/18  02:00:00,20276852.46111084,20276852.461110838,13187284.09812 
 08/18  03:00:00,19131256.99435413,19131256.99435413,9928834.732080001 
 08/18  04:00:00,27498902.313373048,27498902.313373048,19704182.8302 
 08/18  05:00:00,28195743.50185669,28195743.50185669,19704182.8302 
 08/18  06:00:00,29251403.452712398,29251403.452712398,19704182.8302 
 08/18  07:00:00,26891600.32848827,26891600.32848827,19704182.8302 
 08/18  08:00:00,25909450.423336424,25909450.423336424,19704182.8302 
 08/18  09:00:00,28649612.209458344,28649612.209458344,19704182.8302 
 08/18  10:00:00,59994614.132617414,59994614.132617414,19704182.8302 
 08/18  11:00:00,102505088.02806184,102505088.0280618,42513328.39248 
 08/18  12:00:00,117475579.52181618,117475579.52181618,45771777.75852001 
 08/18  13:00:00,131603378.16625337,131603378.16625336,79480867.65187539 
 08/18  14:00:00,147267857.2452191,147267857.2452191,88662929.6140232 
 08/18  15:00:00,157577269.12811553,157577269.12811553,107283443.29223537 
 08/18  16:00:00,169994079.08655488,169994079.08655488,114701824.64123224 
 08/18  17:00:00,171219327.84665978,171219327.84665978,125263715.68164667 
 08/18  18:00:00,164955386.3248564,164955386.32485637,141575135.86917016 
 08/18  19:00:00,156529369.3535472,156529369.3535472,136735782.0001868 
 08/18  20:00:00,144762519.05338746,144762519.0533875,117405498.766922 
 08/18  21:00:00,125632198.91827524,125632198.91827525,122095267.64567074 
 08/18  22:00:00,77827142.57125977,77827142.57125974,80355833.98428127 
 08/18  23:00:00,51243581.59972138,51243581.59972138,39238515.877666935 
 08/18  24:00:00,42601595.26387173,42601595.26387173,30115806.838609125 
 08/19  01:00:00,17843208.00462289,17843208.004622888,9928834.732080001 
 08/19  02:00:00,20337288.6909579,20337288.6909579,13187284.09812 
 08/19  03:00:00,19242609.24840986,19242609.24840986,9928834.732080001 
 08/19  04:00:00,27597722.561181366,27597722.561181366,19704182.8302 
 08/19  05:00:00,28291926.6086931,28291926.6086931,19704182.8302 
 08/19  06:00:00,29043393.49716923,29043393.497169226,19704182.8302 
 08/19  07:00:00,26877725.694748312,26877725.694748312,19704182.8302 
 08/19  08:00:00,26060565.81079191,26060565.810791906,19704182.8302 
 08/19  09:00:00,28850268.051840868,28850268.051840868,19704182.8302 
 08/19  10:00:00,46873049.390226655,46873049.390226655,19704182.8302 
 08/19  11:00:00,89694576.16578257,89694576.16578259,42513328.39248 
 08/19  12:00:00,106089683.83364218,106089683.8336422,45771777.75852001 
 08/19  13:00:00,128398248.45670445,128398248.45670447,79490369.94594538 
 08/19  14:00:00,142480713.95936456,142480713.95936456,95088786.58662689 
 08/19  15:00:00,140165435.37697172,140165435.37697172,100850936.9141872 
 08/19  16:00:00,158058198.78852987,158058198.78852987,114716458.47637129 
 08/19  17:00:00,166989877.91907296,166989877.91907296,134545179.33865544 
 08/19  18:00:00,161349852.03541636,161349852.03541636,131612849.18538807 
 08/19  19:00:00,156758450.20528737,156758450.20528737,136735167.43368542 
 08/19  20:00:00,148485859.06950372,148485859.06950372,127201410.77898963 
 08/19  21:00:00,134246571.3772808,134246571.37728083,112095345.77273439 
 08/19  22:00:00,90177757.21698478,90177757.2169848,80371879.68223135 
 08/19  23:00:00,58523070.709169544,58523070.70916954,39223656.046075955 
 08/19  24:00:00,43529052.37058968,43529052.37058969,30156397.059335258 
 08/20  01:00:00,18111510.24178484,18111510.24178484,9928834.732080001 
 08/20  02:00:00,20965585.55525741,20965585.55525741,13187284.09812 
 08/20  03:00:00,20075848.00051026,20075848.00051026,9928834.732080001 
 08/20  04:00:00,28186519.13395192,28186519.133951925,19704182.8302 
 08/20  05:00:00,28931756.241224024,28931756.241224024,19704182.8302 
 08/20  06:00:00,30427409.42775122,30427409.42775122,19704182.8302 
 08/20  07:00:00,27427773.68407971,27427773.684079714,19704182.8302 
 08/20  08:00:00,26370113.785380743,26370113.785380743,19704182.8302 
 08/20  09:00:00,29317797.67061946,29317797.67061946,19704182.8302 
 08/20  10:00:00,54236535.97499001,54236535.97499001,19704182.8302 
 08/20  11:00:00,91313498.6843131,91313498.6843131,42513328.39248 
 08/20  12:00:00,102328386.86333151,102328386.86333153,45771777.75852001 
 08/20  13:00:00,117441184.031727,117441184.03172702,79474611.31499976 
 08/20  14:00:00,128879708.84841976,128879708.84841977,97512266.17993662 
 08/20  15:00:00,135547071.79964387,135547071.79964387,98419399.95569015 
 08/20  16:00:00,153952322.31009135,153952322.31009135,123582900.26427068 
 08/20  17:00:00,163467837.73129487,163467837.73129487,125230883.29660672 
 08/20  18:00:00,161563080.61817867,161563080.61817867,141621437.36902225 
 08/20  19:00:00,159663822.42504537,159663822.42504537,136784634.74067932 
 08/20  20:00:00,154116941.75944737,154116941.75944737,117399171.0755888 
 08/20  21:00:00,138512419.55316728,138512419.55316728,120484753.75617425 
 08/20  22:00:00,91444411.03989798,91444411.03989801,72400680.21556816 
 08/20  23:00:00,55550969.78128715,55550969.78128715,39220591.717938066 
 08/20  24:00:00,42631560.461828336,42631560.461828336,38611705.90045039 
 08/21  01:00:00,17991992.244063497,17991992.24406349,9928834.732080001 
 08/21  02:00:00,20715555.866266828,20715555.866266824,13187284.09812 
 08/21  03:00:00,19850764.20968997,19850764.20968997,9928834.732080001 
 08/21  04:00:00,27970006.565586604,27970006.565586604,19704182.8302 
 08/21  05:00:00,28675186.984362528,28675186.984362528,19704182.8302 
 08/21  06:00:00,30007700.84344293,30007700.84344293,19704182.8302 
 08/21  07:00:00,27250908.79530312,27250908.79530312,19704182.8302 
 08/21  08:00:00,26198637.028639697,26198637.028639693,19704182.8302 
 08/21  09:00:00,29184590.294297904,29184590.294297904,19704182.8302 
 08/21  10:00:00,56998610.368534364,56998610.36853437,19704182.8302 
 08/21  11:00:00,92395411.94037044,92395411.94037044,42513328.39248 
 08/21  12:00:00,103584202.5383016,103584202.5383016,45771777.75852001 
 08/21  13:00:00,119132014.74766296,119132014.74766296,79484304.45934317 
 08/21  14:00:00,129498793.40902922,129498793.40902922,88664111.32063642 
 08/21  15:00:00,134354510.9667121,134354510.9667121,107283687.63568106 
 08/21  16:00:00,144790859.8068277,144790859.80682766,114707768.22423679 
 08/21  17:00:00,140351390.5203417,140351390.5203417,125373134.1190376 
 08/21  18:00:00,133109221.56068614,133109221.56068616,141472790.3411855 
 08/21  19:00:00,133826526.20304331,133826526.20304331,136746983.561893 
 08/21  20:00:00,128868064.02834408,128868064.02834406,117414408.44909334 
 08/21  21:00:00,111591062.4600473,111591062.4600473,122104342.0774518 
 08/21  22:00:00,74141777.81421292,74141777.81421292,80360785.55868603 
 08/21  23:00:00,51404101.1374332,51404101.1374332,39236700.37357344 
 08/21  24:00:00,43281624.16738482,43281624.16738482,30108880.802230462 
 08/22  01:00:00,16538599.840826675,16538599.840826675,9928834.732080001 
