Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 10/13  05:00:00,9469604.825749658,9469604.82574966,0.0 
 10/13  06:00:00,26454013.410686467,26454013.410686463,0.0 
 10/13  07:00:00,22788588.109977674,22788588.10997767,0.0 
 10/13  08:00:00,34978767.95601198,34978767.95601198,0.0 
 10/13  09:00:00,36277181.92468607,36277181.92468607,0.0 
 10/13  10:00:00,36030322.18809264,36030322.18809264,0.0 
 10/13  11:00:00,38483630.71586676,38483630.71586676,0.0 
 10/13  12:00:00,35090590.518646926,35090590.518646926,0.0 
 10/13  13:00:00,39941801.14631368,39941801.14631368,0.0 
 10/13  14:00:00,39005169.27716912,39005169.27716912,0.0 
 10/13  15:00:00,41018536.16999046,41018536.169990465,0.0 
 10/13  16:00:00,41024802.825868994,41024802.825869,0.0 
 10/13  17:00:00,29585082.03962858,29585082.039628576,0.0 
 10/13  18:00:00,18878048.132476173,18878048.132476173,0.0 
 10/13  19:00:00,9983935.254119202,9983935.254119204,0.0 
 10/13  20:00:00,8999331.820964705,8999331.820964705,0.0 
 10/13  21:00:00,8999331.820964705,8999331.820964705,0.0 
 10/13  22:00:00,8113188.731125657,8113188.731125657,0.0 
 10/13  23:00:00,6365454.451684226,6365454.451684226,0.0 
 10/13  24:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  01:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  02:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  03:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  04:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  05:00:00,8569604.825749658,8569604.82574966,0.0 
 10/14  06:00:00,24652313.48037604,24652313.480376035,0.0 
 10/14  07:00:00,21694533.88134502,21694533.881345015,0.0 
 10/14  08:00:00,35346980.16989419,35346980.169894196,0.0 
 10/14  09:00:00,36275321.668916866,36275321.668916866,0.0 
 10/14  10:00:00,35347783.5404371,35347783.54043711,0.0 
 10/14  11:00:00,37772001.321913764,37772001.321913764,0.0 
 10/14  12:00:00,34078806.243425615,34078806.24342562,0.0 
 10/14  13:00:00,38806249.46379037,38806249.46379037,0.0 
 10/14  14:00:00,37638462.30770015,37638462.30770016,0.0 
 10/14  15:00:00,39620289.02951997,39620289.02951997,0.0 
 10/14  16:00:00,39430070.7058835,39430070.7058835,0.0 
 10/14  17:00:00,27357020.25661252,27357020.256612517,0.0 
 10/14  18:00:00,18879151.04609057,18879151.046090566,0.0 
 10/14  19:00:00,9983935.254119202,9983935.254119204,0.0 
 10/14  20:00:00,8999331.820964705,8999331.820964705,0.0 
 10/14  21:00:00,8999331.820964705,8999331.820964705,0.0 
 10/14  22:00:00,8113188.731125657,8113188.731125657,0.0 
 10/14  23:00:00,6365454.451684226,6365454.451684226,0.0 
 10/14  24:00:00,9019604.825749658,9019604.82574966,0.0 
 10/15  01:00:00,9469604.825749658,9469604.82574966,0.0 
 10/15  02:00:00,9469604.825749658,9469604.82574966,0.0 
 10/15  03:00:00,9469604.825749658,9469604.82574966,0.0 
 10/15  04:00:00,9469604.825749658,9469604.82574966,0.0 
 10/15  05:00:00,9469604.825749658,9469604.82574966,0.0 
 10/15  06:00:00,23824643.2274115,23824643.227411494,0.0 
 10/15  07:00:00,21782705.79908038,21782705.79908038,0.0 
 10/15  08:00:00,33096484.051056974,33096484.05105698,0.0 
 10/15  09:00:00,33684834.76685493,33684834.76685493,0.0 
 10/15  10:00:00,33079707.730729442,33079707.730729442,0.0 
 10/15  11:00:00,35589595.07201868,35589595.07201868,0.0 
 10/15  12:00:00,32050778.02397837,32050778.023978375,0.0 
 10/15  13:00:00,37244522.69400586,37244522.69400588,0.0 
 10/15  14:00:00,36497548.124144524,36497548.124144524,0.0 
 10/15  15:00:00,38630653.33100528,38630653.331005275,0.0 
 10/15  16:00:00,38737584.29822921,38737584.29822921,0.0 
 10/15  17:00:00,27253502.213476907,27253502.2134769,0.0 
 10/15  18:00:00,18883070.1652863,18883070.1652863,0.0 
 10/15  19:00:00,9983935.254119202,9983935.254119204,0.0 
 10/15  20:00:00,8999331.820964705,8999331.820964705,0.0 
 10/15  21:00:00,8999331.820964705,8999331.820964705,0.0 
 10/15  22:00:00,8338188.731125657,8338188.731125657,0.0 
