,trend,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)",lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_12,lag_13,lag_14,lag_15,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,874277108.603504,1209514112.4784005,1531137929.3309028,1444730914.1971707,1492309728.8074663,1479142687.3623998,1315439291.2259445,432393140.4700163,980257227.3703496,2086492347.117551,0,0
2004-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,914851053.3752066,874277108.603504,1209514112.4784005,1531137929.3309028,1430692552.8494546,1488002272.0824401,1317765408.7728426,357928625.569023,980257227.3703496,1945826108.2152004,1,0
2004-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,1387312912.8830075,914851053.3752066,874277108.603504,1209514112.4784005,1403940204.4218707,1485920593.135154,1301913721.5000463,370214502.80739087,980257227.3703496,1945826108.2152004,1,0
2004-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,980257227.3703496,2101848692.946232,1387312912.8830075,914851053.3752066,874277108.603504,1377559067.3519275,1480300033.0835283,1271732085.9818728,409891147.080344,795589267.8807478,1945826108.2152004,0,0
2004-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,1008421909.1433812,2242887711.804078,2101848692.946232,1387312912.8830075,914851053.3752066,1294460189.5908396,1445434226.757854,1247053678.4166942,536584984.15505743,426729764.8157652,1945826108.2152004,0,0
2004-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1373032684.3123157,2086492347.117551,2242887711.804078,2101848692.946232,1387312912.8830075,1209994662.8546028,1402181447.0632572,1248081624.6311836,567784171.1219945,426729764.8157652,1945826108.2152004,0,0
2004-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,1945826108.2152004,1367637046.209478,2086492347.117551,2242887711.804078,2101848692.946232,1086070508.9549768,1329074899.7755134,1270337448.501252,465949455.15982604,426729764.8157652,1684500779.2839882,0,0
2004-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1684500779.2839882,980257227.3703496,1367637046.209478,2086492347.117551,2242887711.804078,1046338582.981006,1269324155.894236,1292455526.5241342,415547958.9873955,426729764.8157652,1655172115.4114692,0,0
2004-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1655172115.4114692,1008421909.1433812,980257227.3703496,1367637046.209478,2086492347.117551,1025032496.5750932,1227862524.7122738,1306846040.9576578,381562679.6001614,426729764.8157652,1506029510.5700777,1,0
2004-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131642124.4885027,1506029510.5700777,1406377297.4661944,1078357030.9178183,781773997.158657,426729764.8157652,795589267.8807478,1180370607.2163908,1373032684.3123157,1008421909.1433812,980257227.3703496,1367637046.209478,1018071284.7568233,1211005744.5893471,1294257684.1319277,378690054.8025848,426729764.8157652,1506029510.5700777,1,0
