Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/06  10:00:00,39168485.54780954,39168485.54780954,0.0 
 01/06  11:00:00,34325671.31125321,34325671.31125322,0.0 
 01/06  12:00:00,33577893.950137824,33577893.95013783,0.0 
 01/06  13:00:00,29804883.74372173,29804883.74372173,0.0 
 01/06  14:00:00,31733433.753633518,31733433.753633518,0.0 
 01/06  15:00:00,30100259.593777485,30100259.593777485,0.0 
 01/06  16:00:00,31668148.630948108,31668148.630948104,0.0 
 01/06  17:00:00,34274897.646781236,34274897.646781236,0.0 
 01/06  18:00:00,33256013.129858468,33256013.129858464,0.0 
 01/06  19:00:00,30114158.18573244,30114158.185732435,0.0 
 01/06  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/06  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/06  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/06  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/07  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/07  07:00:00,38524079.990585156,38524079.99058516,8478197.475942781 
 01/07  08:00:00,46356601.40959872,46356601.40959871,14527611.508440988 
 01/07  09:00:00,43645129.48398592,43645129.48398592,725224.1199407931 
 01/07  10:00:00,38154041.857099645,38154041.85709965,0.0 
 01/07  11:00:00,33865939.97162352,33865939.97162352,0.0 
 01/07  12:00:00,34803073.65813156,34803073.65813156,0.0 
 01/07  13:00:00,31649541.493215486,31649541.493215486,0.0 
