,trend,trend_squared,trend_cubed,trend**4,trend**5,"cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)",lag_2,lag_3,lag_4,lag_5,rolling_mean_7,rolling_mean_14,rolling_mean_30,rolling_std_7,rolling_min_7,rolling_max_7,is_weekend,is_holiday
2004-02-12,773.0,597529.0,461889917.0,357040905841.0,275992620215093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863903787.5934181,864817465.7702888,875430313.7518412,887180030.0183536,878362222.5646427,872530172.1898526,862743595.8730409,13323081.487590356,863903787.5934181,895118522.7310277,0,0
2004-02-13,774.0,599076.0,463684824.0,358892053776.0,277782449622624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868979827.8496568,863903787.5934181,864817465.7702888,875430313.7518412,877292552.0276107,874626851.4828584,863371410.095868,12194911.853140833,863903787.5934181,895118522.7310277,0,0
2004-02-14,775.0,600625.0,465484375.0,360750390625.0,279581552734375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885617916.478688,868979827.8496568,863903787.5934181,864817465.7702888,872638166.5177091,875002791.5417656,863029061.8224297,10332706.020118633,862537824.1617174,887180030.0183536,1,0
2004-02-15,776.0,602176.0,467288576.0,362615934976.0,281389965541376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862537824.1617174,885617916.478688,868979827.8496568,863903787.5934181,867450991.7006385,874040322.9534463,862437289.0235543,10913578.061718764,850869806.2988585,885617916.478688,1,0
2004-02-16,777.0,603729.0,469097433.0,364488705441.0,283207724127657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850869806.2988585,862537824.1617174,885617916.478688,868979827.8496568,863207610.2652875,872191150.757897,861674843.087317,12889729.956310345,845726643.7043855,885617916.478688,0,0
2004-02-17,778.0,605284.0,470910952.0,366368720656.0,285034864670368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845726643.7043855,850869806.2988585,862537824.1617174,885617916.478688,859587397.7394108,870082662.3044778,860876146.7877386,15629715.234921413,839475978.0891511,885617916.478688,0,0
2004-02-18,779.0,606841.0,472729139.0,368255999281.0,286871423439899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839475978.0891511,845726643.7043855,850869806.2988585,862537824.1617174,855574144.1065785,867656677.0278474,860036129.0615667,17793584.267822053,835811012.1635911,885617916.478688,0,0
2004-02-19,780.0,608400.0,474552000.0,370150560000.0,288717436800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,835811012.1635911,839475978.0891511,845726643.7043855,850869806.2988585,849435520.3569003,863898871.4607716,859203467.892062,19707228.07659654,826009461.6019111,885617916.478688,0,0
2004-02-20,781.0,609961.0,476379541.0,372052421521.0,290572941207901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826009461.6019111,835811012.1635911,839475978.0891511,845726643.7043855,841055429.0459801,859173990.5367954,858267196.8651949,13132486.05451684,826009461.6019111,862537824.1617174,0,0
2004-02-21,782.0,611524.0,478211768.0,373961602576.0,292437973214432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826957277.3022454,826009461.6019111,835811012.1635911,839475978.0891511,837503164.3626935,855070665.4402012,858025410.7991105,9095763.987053527,826009461.6019111,850869806.2988585,1,0
2004-02-22,783.0,613089.0,480048687.0,375878121921.0,294312569464143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837671971.3787119,826957277.3022454,826009461.6019111,835811012.1635911,835208930.8252614,851329961.26295,857772131.7088909,6929863.828503148,826009461.6019111,845726643.7043855,1,0
2004-02-23,784.0,614656.0,481890304.0,377801998336.0,296196766695424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834810171.536834,837671971.3787119,826957277.3022454,826009461.6019111,833523646.3532689,848365628.3092782,857328243.3544242,5152201.130088323,826009461.6019111,839475978.0891511,0,0
2004-02-24,785.0,616225.0,483736625.0,379733250625.0,298090601740625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833929652.4004372,834810171.536834,837671971.3787119,826957277.3022454,832763221.1754484,846175309.4574295,857046384.8055941,4475659.522947023,826009461.6019111,837671971.3787119,0,0
2004-02-25,786.0,617796.0,485587656.0,381671897616.0,299994111526176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834153001.8444077,833929652.4004372,834810171.536834,837671971.3787119,833262860.940707,844418502.5236427,856954029.2372817,5033110.546131395,826009461.6019111,839308490.5204017,0,0
2004-02-26,787.0,619369.0,487443403.0,383617958161.0,301907333072707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839308490.5204017,834153001.8444077,833929652.4004372,834810171.536834,833502046.7593855,841468783.558143,856411140.0242691,4656666.922036658,826957277.3022454,839308490.5204017,0,0
2004-02-27,788.0,620944.0,489303872.0,385571451136.0,303830303495168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827683762.3326604,839308490.5204017,834153001.8444077,833929652.4004372,832782164.2265577,836918796.6362689,855580072.90502,6025411.328861078,821918099.5724512,839308490.5204017,0,0
2004-02-28,789.0,622521.0,491169069.0,387532395441.0,305763060002949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821918099.5724512,827683762.3326604,839308490.5204017,834153001.8444077,830186265.9417571,833844715.1522254,854580138.7809831,7338825.906472782,819500683.3851075,839308490.5204017,1,0
2004-03-01,790.0,624100.0,493039000.0,389500810000.0,307705639900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819500683.3851075,821918099.5724512,827683762.3326604,839308490.5204017,829092816.204354,832150873.5148078,853609859.3475966,7101439.230613965,819500683.3851075,839308490.5204017,0,0
2004-03-02,791.0,625681.0,494913671.0,391476713761.0,309658080584951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827156023.3750123,819500683.3851075,821918099.5724512,827683762.3326604,830030489.3023156,831777067.8277923,853050482.7059019,8195583.43076672,819500683.3851075,840493364.0861684,0,0
2004-03-03,792.0,627264.0,496793088.0,393460125696.0,311620419551232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840493364.0861684,827156023.3750123,819500683.3851075,821918099.5724512,830641306.8892868,831702264.0323676,852186627.9864976,8697979.575168222,819500683.3851075,840493364.0861684,0,0
2004-03-04,793.0,628849.0,498677257.0,395451064801.0,313592694387193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838428724.9532058,840493364.0861684,827156023.3750123,819500683.3851075,828595101.2541453,830928981.097426,850632294.5409088,7973848.374311823,819500683.3851075,840493364.0861684,0,0
2004-03-05,794.0,630436.0,500566184.0,397449550096.0,315574942776224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824985051.0744101,838428724.9532058,840493364.0861684,827156023.3750123,832708342.6552408,833105194.707313,850215015.7310193,13163088.873956457,819500683.3851075,856476452.1403294,0,0
