Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 03/19  03:00:00,11733306.689452473,11733306.68945247,24027055.697027985 
 03/19  04:00:00,12681133.843062486,12681133.843062483,22753152.660154738 
 03/19  05:00:00,14036837.201000711,14036837.201000711,22548367.086544577 
 03/19  06:00:00,17633303.24798245,17633303.24798245,23584421.878312267 
 03/19  07:00:00,14271391.995446231,14271391.995446231,26656832.139785733 
 03/19  08:00:00,13696510.073344648,13696510.073344648,27951281.27462642 
 03/19  09:00:00,13171998.917700617,13171998.917700617,25035791.459963515 
 03/19  10:00:00,12172758.7480193,12172758.748019297,22763376.83306103 
 03/19  11:00:00,11499842.997086138,11499842.997086138,19250161.291121468 
 03/19  12:00:00,11291297.522260122,11291297.522260122,16481222.487624064 
 03/19  13:00:00,10074664.817785898,10074664.817785896,13367277.787496176 
 03/19  14:00:00,9992415.18436344,9992415.18436344,12916218.82847815 
 03/19  15:00:00,10201206.837644383,10201206.83764438,12127273.217928082 
 03/19  16:00:00,11819680.884289451,11819680.884289455,10569104.837842207 
 03/19  17:00:00,12904405.155389398,12904405.155389398,9694942.754017845 
 03/19  18:00:00,14575098.985195672,14575098.98519567,10361190.130030492 
 03/19  19:00:00,20140367.559003107,20140367.559003107,10858366.823669558 
 03/19  20:00:00,18429066.36942162,18429066.36942162,11085452.215013629 
 03/19  21:00:00,17828454.25666681,17828454.25666681,10354350.600499792 
 03/19  22:00:00,16872689.11100378,16872689.111003783,10526362.129127597 
 03/19  23:00:00,14226678.969319437,14226678.969319435,11227357.042189183 
 03/19  24:00:00,12274926.625596087,12274926.625596087,10776372.445343828 
 03/20  01:00:00,11241563.410237309,11241563.410237309,11067044.341815665 
 03/20  02:00:00,12100952.084536295,12100952.084536295,12594071.769835321 
 03/20  03:00:00,11208791.978183556,11208791.978183556,13043257.226069532 
 03/20  04:00:00,12176603.760217037,12176603.760217037,12189762.94232828 
 03/20  05:00:00,13529040.791046705,13529040.791046703,11916410.17121728 
 03/20  06:00:00,17071991.241378248,17071991.241378248,11940007.747663554 
 03/20  07:00:00,13337283.777078075,13337283.777078075,11421026.468645405 
 03/20  08:00:00,13103056.758680973,13103056.758680977,11146508.544995483 
 03/20  09:00:00,12014395.0218467,12014395.0218467,10598506.972005218 
 03/20  10:00:00,12006393.389625404,12006393.389625404,9579837.201968333 
 03/20  11:00:00,10997701.27883861,10997701.278838608,8742447.694375362 
 03/20  12:00:00,10899716.083952107,10899716.083952107,8288943.0022992045 
 03/20  13:00:00,9846364.083187262,9846364.083187262,8584670.957725309 
 03/20  14:00:00,9805323.795801956,9805323.795801954,9003419.974518329 
 03/20  15:00:00,10026316.823593052,10026316.823593052,8463208.159600697 
 03/20  16:00:00,10778872.971661896,10778872.971661896,8131366.967819401 
 03/20  17:00:00,13754506.743778158,13754506.743778158,7738587.951073622 
 03/20  18:00:00,14039930.143789941,14039930.14378994,7272341.654233562 
 03/20  19:00:00,19601614.044402484,19601614.044402484,7973164.7164604 
 03/20  20:00:00,19072640.696482606,19072640.69648261,8238444.376982531 
 03/20  21:00:00,17738978.104635898,17738978.104635898,8490881.066683315 
 03/20  22:00:00,16797853.385578986,16797853.385578983,8968750.342444723 
 03/20  23:00:00,14141749.632657269,14141749.632657267,9452456.78602299 
 03/20  24:00:00,12207384.991816184,12207384.991816184,9361561.830884088 
 03/21  01:00:00,11188553.944558917,11188553.944558918,9956979.599005949 
 03/21  02:00:00,12023462.198060246,12023462.198060244,10971524.379681863 
 03/21  03:00:00,11134686.339544768,11134686.339544768,11491420.103329955 
 03/21  04:00:00,12129023.362144971,12129023.362144973,11191860.853468886 
 03/21  05:00:00,13332346.914789919,13332346.914789919,10330153.030285839 
 03/21  06:00:00,17088100.843174767,17088100.843174767,9550798.09471818 
 03/21  07:00:00,13233088.239838975,13233088.239838973,9263057.56338727 
 03/21  08:00:00,13028501.75047613,13028501.75047613,9608746.940804042 
 03/21  09:00:00,11977795.711901873,11977795.71190187,9838145.825407494 
 03/21  10:00:00,11998532.934533734,11998532.934533734,9422803.75274586 
 03/21  11:00:00,10991837.574162483,10991837.574162481,8631658.436648352 
 03/21  12:00:00,10564144.09234707,10564144.09234707,7900622.54496986 
 03/21  13:00:00,10089965.034665972,10089965.034665972,7110453.367836494 
 03/21  14:00:00,9050699.689637657,9050699.689637657,6082659.411227022 
 03/21  15:00:00,10469734.776332023,10469734.776332023,4787490.204644571 
 03/21  16:00:00,10600663.116968453,10600663.116968453,4392051.204161132 
 03/21  17:00:00,13601731.318468131,13601731.318468131,4546147.979697956 
 03/21  18:00:00,13917859.861994907,13917859.861994905,4735632.272362159 
 03/21  19:00:00,19339778.889621966,19339778.889621966,6002480.156886286 
 03/21  20:00:00,19172103.690103624,19172103.690103624,6848870.175146529 
 03/21  21:00:00,17693663.04043118,17693663.04043118,7555318.070685782 
 03/21  22:00:00,15873991.601036375,15873991.601036375,8939606.563286578 
 03/21  23:00:00,15082817.235132048,15082817.235132046,10359225.90600178 
 03/21  24:00:00,11619275.765340488,11619275.765340488,10903475.75736232 
 03/22  01:00:00,12365685.341164973,12365685.341164969,11781861.550177604 
 03/22  02:00:00,11425836.076340172,11425836.076340172,12177629.745275779 
 03/22  03:00:00,12272697.10938701,12272697.10938701,12554998.907411233 
 03/22  04:00:00,11555532.20100366,11555532.20100366,12961053.779402444 
 03/22  05:00:00,13773002.531216197,13773002.531216199,12502021.884816263 
 03/22  06:00:00,18270404.315987803,18270404.315987803,12290637.401645856 
 03/22  07:00:00,12794765.848648671,12794765.848648671,12165068.786507513 
 03/22  08:00:00,12547628.578983463,12547628.578983463,11603150.415594777 
 03/22  09:00:00,12133547.340577453,12133547.340577452,10096335.518087354 
 03/22  10:00:00,12083335.261705035,12083335.261705037,8193231.508126644 
 03/22  11:00:00,11033515.64367263,11033515.64367263,6506401.952182965 
 03/22  12:00:00,9979192.065959532,9979192.065959532,5309468.021340608 
 03/22  13:00:00,9844779.77670823,9844779.77670823,5550084.395297602 
 03/22  14:00:00,9792582.603132721,9792582.603132723,5720162.250427977 
 03/22  15:00:00,10042873.589413904,10042873.589413904,5808821.216408761 
 03/22  16:00:00,11762378.4622727,11762378.4622727,6353845.459609609 
 03/22  17:00:00,13796789.340074275,13796789.340074275,5617325.62756564 
 03/22  18:00:00,14038338.196306685,14038338.196306685,4256948.613260836 
 03/22  19:00:00,19848431.071624395,19848431.07162439,4604807.107260423 
 03/22  20:00:00,19672730.602807537,19672730.602807533,5278913.7634875225 
 03/22  21:00:00,18203252.736058217,18203252.736058217,6183500.730535522 
 03/22  22:00:00,16365836.172494655,16365836.172494655,7169949.343512829 
 03/22  23:00:00,14649854.922426129,14649854.922426129,8034608.89038096 
 03/22  24:00:00,12381585.529815516,12381585.529815516,8486205.43748599 
 03/23  01:00:00,12236481.719238251,12236481.719238251,9075647.797800606 
 03/23  02:00:00,11298532.108596142,11298532.108596142,9511772.913784664 
 03/23  03:00:00,11260151.225571804,11260151.225571804,9595535.345362742 
 03/23  04:00:00,12287529.175109038,12287529.175109038,9987868.208997622 
 03/23  05:00:00,13644187.78713495,13644187.78713495,9802679.766728872 
 03/23  06:00:00,18132342.40622042,18132342.406220425,9404681.59587474 
 03/23  07:00:00,12603602.979288824,12603602.979288824,8180979.976887693 
 03/23  08:00:00,11507988.869105535,11507988.869105535,6885201.888779126 
 03/23  09:00:00,12785659.596513271,12785659.59651327,6976996.631534159 
 03/23  10:00:00,11029626.92340276,11029626.92340276,5962398.124992729 
 03/23  11:00:00,10930328.365725327,10930328.365725327,4326296.574438655 
 03/23  12:00:00,10801951.255501222,10801951.255501222,3234291.486382121 
 03/23  13:00:00,9682359.604531607,9682359.604531605,2147072.043033531 
 03/23  14:00:00,9592289.805262683,9592289.805262683,1530813.1599003838 
 03/23  15:00:00,9834079.684500111,9834079.684500113,1434884.2389437505 
 03/23  16:00:00,11537351.365969963,11537351.365969962,1659795.6519013948 
 03/23  17:00:00,12625131.671500772,12625131.671500769,858088.6445876213 
 03/23  18:00:00,14507281.176986234,14507281.176986232,1384318.404486298 
 03/23  19:00:00,20115969.0738438,20115969.073843796,2902018.950109248 
 03/23  20:00:00,18639452.81336763,18639452.81336763,3459061.5546561116 
 03/23  21:00:00,18103121.200708665,18103121.20070866,4068407.0242903023 
 03/23  22:00:00,17189076.674867563,17189076.674867563,5111123.158570484 
 03/23  23:00:00,14526195.81154009,14526195.81154009,5443630.761335467 
 03/23  24:00:00,12085255.48220146,12085255.48220146,6803921.589135971 
