Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 02/18  01:00:00,53835357.71832837,53835357.71832837,37110549.20083832 
 02/18  02:00:00,23040905.04623287,23040905.04623287,9928834.732080001 
 02/18  03:00:00,28653828.05473696,28653828.05473696,13187284.09812 
 02/18  04:00:00,22971017.456836138,22971017.456836138,9928834.732080001 
 02/18  05:00:00,53591264.962186955,53591264.96218696,19704182.8302 
 02/18  06:00:00,103210948.50199059,103210948.50199059,86350878.40087685 
 02/18  07:00:00,116426483.06291279,116426483.06291279,86885111.90913388 
 02/18  08:00:00,133378004.27415434,133378004.27415432,142018315.37026274 
 02/18  09:00:00,151096173.39848518,151096173.39848518,138094791.79170835 
 02/18  10:00:00,165869731.14005738,165869731.1400574,132662450.14641754 
 02/18  11:00:00,197805869.03235766,197805869.03235766,137136729.36712536 
 02/18  12:00:00,228567753.66434598,228567753.66434598,158603748.60789862 
 02/18  13:00:00,223711365.4209801,223711365.4209801,140398588.2554043 
 02/18  14:00:00,212819168.08399838,212819168.08399838,132353452.4613559 
 02/18  15:00:00,193219145.0171948,193219145.0171948,115201766.5113995 
 02/18  16:00:00,185662638.67202356,185662638.67202356,124368635.68491486 
 02/18  17:00:00,200968713.56186917,200968713.5618692,124917141.09569976 
 02/18  18:00:00,205014971.6927884,205014971.69278842,137064153.09476846 
 02/18  19:00:00,198246585.97060642,198246585.97060642,157388148.72884995 
 02/18  20:00:00,187889270.0482205,187889270.04822052,153790916.94056186 
 02/18  21:00:00,173751108.4928947,173751108.49289474,131465489.58544123 
 02/18  22:00:00,163186108.34312955,163186108.34312958,137941792.70664293 
 02/18  23:00:00,103081933.43184504,103081933.43184504,93549443.50938371 
 02/18  24:00:00,62757967.75376855,62757967.75376855,40037340.071773425 
 02/19  01:00:00,53980732.617962025,53980732.617962025,39247406.651529476 
 02/19  02:00:00,23374238.648811936,23374238.648811936,9928834.732080001 
 02/19  03:00:00,31073369.168849576,31073369.168849576,13187284.09812 
 02/19  04:00:00,25406273.424256265,25406273.42425626,9928834.732080001 
 02/19  05:00:00,50912035.64806349,50912035.64806349,19704182.8302 
 02/19  06:00:00,101467935.10234295,101467935.10234295,69491919.34484541 
 02/19  07:00:00,115682782.95897636,115682782.95897636,79593825.19765252 
 02/19  08:00:00,133474900.89527766,133474900.89527766,144988987.2516958 
 02/19  09:00:00,151127669.84853038,151127669.8485304,147483724.50942716 
 02/19  10:00:00,165789152.712734,165789152.71273404,135413278.1011889 
 02/19  11:00:00,196532022.52202898,196532022.52202898,148940416.60446495 
 02/19  12:00:00,217589235.0555441,217589235.0555441,164096843.79833972 
 02/19  13:00:00,202132842.72010523,202132842.7201053,140414231.01577234 
 02/19  14:00:00,188908594.8895132,188908594.88951322,132361523.1087741 
 02/19  15:00:00,176190044.55279177,176190044.55279177,115206534.07721427 
 02/19  16:00:00,176244045.12847427,176244045.1284743,118481306.49870147 
 02/19  17:00:00,194228612.62432474,194228612.62432477,143558277.11340547 
 02/19  18:00:00,202730441.0320616,202730441.03206164,149871288.23229071 
 02/19  19:00:00,198152657.92620513,198152657.92620516,169661256.97835422 
 02/19  20:00:00,188662226.77271003,188662226.77271,176140917.0448768 
 02/19  21:00:00,174558494.87181196,174558494.871812,164265956.938264 
