Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 09/02  07:00:00,72010305.40110208,72010305.4011021,68882551.53608838 
 09/02  08:00:00,82422530.00717534,82422530.00717536,78667868.28281376 
 09/02  09:00:00,95554474.88479364,95554474.88479364,83621624.75973295 
 09/02  10:00:00,136486914.24119997,136486914.24119997,142515789.17062092 
 09/02  11:00:00,160380038.2545835,160380038.2545835,146767562.89036703 
 09/02  12:00:00,155075780.0082547,155075780.0082547,129893729.78420968 
 09/02  13:00:00,151273823.59073782,151273823.59073785,130088055.41358238 
 09/02  14:00:00,142445333.832416,142445333.832416,104991652.09396645 
 09/02  15:00:00,143624431.16177464,143624431.16177464,113830202.69001547 
 09/02  16:00:00,153842197.76624757,153842197.76624754,114729570.09901124 
 09/02  17:00:00,154069745.22546858,154069745.22546858,127728582.05146526 
 09/02  18:00:00,149134307.51346418,149134307.5134642,137655363.68241766 
 09/02  19:00:00,149739816.567419,149739816.567419,123958435.35133311 
 09/02  20:00:00,141370652.30501592,141370652.30501595,107076707.07427609 
 09/02  21:00:00,126288299.76296633,126288299.76296635,119322552.28862503 
 09/02  22:00:00,82016516.55310726,82016516.55310726,69949347.99542324 
 09/02  23:00:00,50961287.143763624,50961287.143763624,30191222.156114593 
 09/02  24:00:00,40748830.40374873,40748830.40374872,38616829.90781461 
 09/03  01:00:00,17906971.36612112,17906971.36612112,9928834.732080001 
 09/03  02:00:00,20575192.229063366,20575192.229063366,13187284.09812 
 09/03  03:00:00,19833882.676046915,19833882.676046915,9928834.732080001 
 09/03  04:00:00,38234859.81475402,38234859.81475402,19704182.8302 
 09/03  05:00:00,71404694.85347648,71404694.8534765,42513328.39248 
 09/03  06:00:00,80010254.51363784,80010254.51363784,45771777.75852001 
 09/03  07:00:00,96697118.23331505,96697118.23331505,113778005.08277933 
 09/03  08:00:00,109810439.8088483,109810439.8088483,122289040.88176602 
 09/03  09:00:00,121826837.26756036,121826837.26756038,119532545.3188464 
 09/03  10:00:00,142484378.52732095,142484378.52732095,125346175.69947392 
 09/03  11:00:00,163695152.51103315,163695152.51103315,145540783.2097025 
 09/03  12:00:00,157049778.9985706,157049778.99857062,134756718.47229955 
 09/03  13:00:00,149808890.44813722,149808890.44813722,116548783.15284275 
 09/03  14:00:00,140882501.4446702,140882501.4446702,112532924.24756965 
 09/03  15:00:00,139009997.85054207,139009997.85054207,104967713.97574455 
 09/03  16:00:00,149602105.23529595,149602105.23529595,123607517.27294475 
 09/03  17:00:00,156405072.63832712,156405072.6383271,125289658.95248677 
 09/03  18:00:00,156045924.14075732,156045924.14075732,141731748.2731751 
 09/03  19:00:00,154691336.47753128,154691336.4775313,136889707.9316606 
 09/03  20:00:00,143390112.8392791,143390112.8392791,117486057.15330133 
 09/03  21:00:00,126514856.91947523,126514856.91947526,122227285.43123198 
 09/03  22:00:00,78620427.34447822,78620427.34447822,80432387.71595167 
 09/03  23:00:00,49579839.457960166,49579839.45796016,39195921.3901634 
 09/03  24:00:00,40681463.700797446,40681463.70079744,30145244.143541276 
 09/04  01:00:00,17789623.22137023,17789623.22137023,9928834.732080001 
 09/04  02:00:00,20479583.300566927,20479583.300566927,13187284.09812 
 09/04  03:00:00,19634941.48489368,19634941.48489368,9928834.732080001 
 09/04  04:00:00,33344536.82323883,33344536.82323883,19704182.8302 
 09/04  05:00:00,61236140.38563531,61236140.38563531,42513328.39248 
 09/04  06:00:00,71498783.80464172,71498783.80464172,45771777.75852001 
 09/04  07:00:00,85822845.52719359,85822845.5271936,113811643.09214167 
 09/04  08:00:00,107034383.15090786,107034383.15090787,122298896.85218745 
 09/04  09:00:00,127185289.79076101,127185289.79076102,119538011.16044198 
 09/04  10:00:00,147744612.1837043,147744612.1837043,125364445.44718906 
 09/04  11:00:00,168500403.5764234,168500403.5764234,145537431.76353315 
 09/04  12:00:00,164036229.67817384,164036229.67817384,137920719.13314882 
 09/04  13:00:00,158338710.87719265,158338710.87719268,121198623.67848152 
 09/04  14:00:00,148058656.01100907,148058656.01100907,104954245.59974265 
 09/04  15:00:00,143726101.7748647,143726101.77486473,104978012.31772152 
 09/04  16:00:00,154207943.7675901,154207943.7675901,123602383.02283192 
 09/04  17:00:00,161261534.2920239,161261534.2920239,125306168.74282561 
 09/04  18:00:00,158307406.98546746,158307406.9854675,141715347.97429594 
