Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 11/02  03:00:00,10196912.522887915,10196912.522887915,17819430.36530125 
 11/02  04:00:00,11221182.802652549,11221182.802652549,18161513.976704836 
 11/02  05:00:00,12605051.544158824,12605051.544158824,18667939.92615854 
 11/02  06:00:00,16078434.13809378,16078434.13809378,18330760.38042676 
 11/02  07:00:00,13580541.237574967,13580541.237574967,18573845.436849438 
 11/02  08:00:00,11245187.645386381,11245187.645386381,16273304.724560304 
 11/02  09:00:00,9072839.049982538,9072839.049982537,12318557.418306539 
 11/02  10:00:00,9911053.041273113,9911053.041273113,9044437.0717927 
 11/02  11:00:00,7866269.668162297,7866269.668162296,5425356.53077938 
 11/02  12:00:00,7742393.401505107,7742393.401505105,2506334.9676840934 
 11/02  13:00:00,7339793.643624558,7339793.643624559,259161.37222553845 
 11/02  14:00:00,7345780.040650939,7345780.040650937,0.0 
 11/02  15:00:00,7589759.933442624,7589759.933442624,0.0 
 11/02  16:00:00,8355760.010566856,8355760.010566855,0.0 
 11/02  17:00:00,11876288.2676028,11876288.2676028,0.0 
 11/02  18:00:00,17627047.60000107,17627047.600001067,1273412.1604943196 
 11/02  19:00:00,17585546.849052027,17585546.849052023,3532079.8713099235 
 11/02  20:00:00,16519029.916734228,16519029.916734226,5117798.6478268 
 11/02  21:00:00,15141942.476411972,15141942.476411976,6106329.204014868 
 11/02  22:00:00,15058154.198078265,15058154.198078265,7569349.841232047 
 11/02  23:00:00,12493251.208709257,12493251.208709257,8392897.410430215 
 11/02  24:00:00,10094319.0409609,10094319.040960899,9298795.491034007 
 11/03  01:00:00,10829242.774558276,10829242.774558276,9956777.037616508 
 11/03  02:00:00,9890899.649794834,9890899.649794832,10384323.574753717 
 11/03  03:00:00,10753960.078555776,10753960.078555776,11116834.316293038 
 11/03  04:00:00,10049893.93929771,10049893.93929771,11807975.844400188 
 11/03  05:00:00,12280747.46504433,12280747.46504433,11749068.95754803 
 11/03  06:00:00,15770480.043871969,15770480.043871969,11740895.42650976 
 11/03  07:00:00,14200797.333091768,14200797.333091768,11273172.60503698 
 11/03  08:00:00,9922972.667596484,9922972.667596482,8474781.967709497 
 11/03  09:00:00,9670818.892625554,9670818.892625552,4874861.902909467 
 11/03  10:00:00,8614194.439183898,8614194.439183898,1374304.9838095964 
 11/03  11:00:00,8535547.918630565,8535547.918630565,0.0 
 11/03  12:00:00,7547789.795301967,7547789.795301966,0.0 
 11/03  13:00:00,7404107.822668249,7404107.822668249,0.0 
 11/03  14:00:00,6440236.821900152,6440236.821900152,0.0 
 11/03  15:00:00,7589565.562383014,7589565.562383014,0.0 
 11/03  16:00:00,8355510.9085836755,8355510.9085836755,0.0 
 11/03  17:00:00,11876541.580399916,11876541.580399916,0.0 
 11/03  18:00:00,17567051.562373817,17567051.562373817,0.0 
 11/03  19:00:00,17419593.878765047,17419593.878765043,0.0 
 11/03  20:00:00,16279748.002526674,16279748.002526674,0.0 
 11/03  21:00:00,15720919.835307535,15720919.835307537,0.0 
 11/03  22:00:00,13845787.850749005,13845787.850749005,0.0 
 11/03  23:00:00,12187368.868468612,12187368.86846861,1859063.8919420117 
 11/03  24:00:00,10698666.118023975,10698666.118023973,3481971.547561094 
 11/04  01:00:00,9840458.718773318,9840458.718773318,3881135.5832064482 
 11/04  02:00:00,10545078.745778114,10545078.745778114,3892298.729968221 
 11/04  03:00:00,9605112.235901304,9605112.235901304,4285304.235809353 
 11/04  04:00:00,10473318.799538419,10473318.79953842,5127617.755713717 
 11/04  05:00:00,9743487.9547705,9743487.9547705,5268933.415135127 
 11/04  06:00:00,11970528.78584498,11970528.785844982,5126118.064055017 
 11/04  07:00:00,12506490.145640513,12506490.145640515,5483136.403802289 
 11/04  08:00:00,10969824.596952438,10969824.596952438,5714522.4083603555 
 11/04  09:00:00,9790633.164122747,9790633.164122747,5628138.380034802 
 11/04  10:00:00,9562925.531081881,9562925.531081881,2560052.073631498 
 11/04  11:00:00,8560957.514201926,8560957.514201928,223970.65996272492 
 11/04  12:00:00,8536001.370192464,8536001.37019246,0.0 
 11/04  13:00:00,7548112.9539042115,7548112.9539042115,0.0 
 11/04  14:00:00,7404165.053806249,7404165.053806249,0.0 
 11/04  15:00:00,6440340.403148645,6440340.403148644,0.0 
 11/04  16:00:00,7589881.376975571,7589881.37697557,0.0 
 11/04  17:00:00,9841656.992367798,9841656.992367798,0.0 
 11/04  18:00:00,16971625.680799574,16971625.680799574,0.0 
 11/04  19:00:00,16923827.506143577,16923827.506143577,0.0 
 11/04  20:00:00,17420931.70006656,17420931.70006656,0.0 
 11/04  21:00:00,16290167.25979943,16290167.259799428,195620.80105618882 
 11/04  22:00:00,15769748.09639391,15769748.096393907,1020078.3315048909 
 11/04  23:00:00,13976473.067183096,13976473.067183096,2780861.4312466388 
 11/04  24:00:00,12283467.436700944,12283467.436700944,3909303.7477756287 
 11/05  01:00:00,10716261.86887238,10716261.868872378,3857059.8910345207 
 11/05  02:00:00,9665479.52799599,9665479.527995989,3764701.3950046627 
 11/05  03:00:00,10480531.607801594,10480531.607801594,4376855.070768261 
 11/05  04:00:00,9590615.646504447,9590615.646504445,4880384.786541293 
 11/05  05:00:00,10603261.831789155,10603261.831789155,4973498.862752038 
 11/05  06:00:00,11065426.821074173,11065426.821074173,4869545.693690339 
 11/05  07:00:00,13402075.860108916,13402075.860108916,4171512.3597497754 
 11/05  08:00:00,9807973.349963136,9807973.349963136,1422216.9764619425 
 11/05  09:00:00,9528075.995346794,9528075.995346794,0.0 
 11/05  10:00:00,9442865.238705423,9442865.23870542,0.0 
 11/05  11:00:00,8551025.639812551,8551025.639812551,0.0 
 11/05  12:00:00,8536307.664923893,8536307.664923891,0.0 
 11/05  13:00:00,7550266.690065559,7550266.690065559,0.0 
 11/05  14:00:00,7966524.630024172,7966524.6300241705,0.0 
 11/05  15:00:00,8335796.997232774,8335796.997232774,0.0 
 11/05  16:00:00,7510572.373064622,7510572.373064622,0.0 
 11/05  17:00:00,10741898.241359612,10741898.24135961,0.0 
 11/05  18:00:00,16334167.696239438,16334167.696239438,0.0 
 11/05  19:00:00,17568176.030599285,17568176.030599285,0.0 
 11/05  20:00:00,16476817.31855206,16476817.318552058,0.0 
 11/05  21:00:00,17217532.073196717,17217532.073196717,0.0 
 11/05  22:00:00,14798108.1659111,14798108.1659111,0.0 
 11/05  23:00:00,13845818.417321172,13845818.417321172,0.0 
 11/05  24:00:00,12100297.983932227,12100297.983932227,0.0 
 11/06  01:00:00,10535457.479501227,10535457.479501227,0.0 
 11/06  02:00:00,10362635.232516365,10362635.232516365,0.0 
 11/06  03:00:00,9404311.7551619,9404311.7551619,0.0 
